# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.025854297824038003e-01
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.063330048651779103e-01
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.100919152947187618e-01
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.986854140452685380e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.822927496791970026e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.696319292481320795e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.594016179923735205e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.507090938527544471e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.458869191806418192e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.430303477084935659e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.449667879704292450e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.494665221547279099e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 5.559761993252341356e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 5.653338167176065465e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 5.798495389331485145e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 5.939845517911189476e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 6.120852694184299170e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 6.317394602874340515e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 6.548157739439941505e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 6.776543189945442858e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 7.031569602086974735e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 7.294130802030482363e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 7.571968815100474370e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 7.875549157610481354e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 8.199309297972892652e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 8.528999919313863531e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 8.883553966840140870e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 9.238835783162251125e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 9.591920749579173344e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 9.965350425716647254e-02
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.032835967518925951e-01
5.000000000000000000e+00 7.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.069511994358435941e-01
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 6.118783282251705202e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.935208758569534421e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.792232653078579346e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.656443459294688975e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.572868758773998760e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.494355563951233007e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.447518800280173185e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.434354355678105292e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.447273816463299445e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 5.509058966444426580e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 5.580943091125173394e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 5.689925388941313722e-02
